assessment_id,year
AM0942,2025
AM0943,2025
AM0945,2025
AM0946,2025
AM0947,2025
AM0949,2025
AM0952,2025
AM0953,2025
AM0954,2025
AM0955,2025
AM0957,2025
AM0959,2025
AM0962,2025
AM0964,2025
AS0599,2025
AS0600,2025
AS0601,2025
AS0602,2025
AS0603,2025
AS0604,2025
AS0605,2025
AS0606,2025
AS0607,2025
AS0608,2025
AS0609,2025
AS0610,2025
AS0611,2025
CC0042,2025
CC0043,2025
CC0045,2025
CC0050,2025
CI0045,2025
CI0046,2025
CI0047,2025
CI0048,2025
CI0049,2025
CI0050,2025
CI0051,2025
CI0052,2025
CI0053,2025
CI0054,2025
CI0055,2025
CI0056,2025
CI0057,2025
CI0058,2025
DL0252,2025
DL0253,2025
DL0254,2025
DL0255,2025
DL0256,2025
DL0257,2025
DL0258,2025
DL0259,2025
DL0260,2025
DL0261,2025
DL0262,2025
DL0263,2025
DL0264,2025
DL0265,2025
GT0996,2025
IC0325,2025
IC0326,2025
IC0327,2025
IC0328,2025
IC0329,2025
IC0330,2025
IC0331,2025
IC0332,2025
IC0333,2025
IC0334,2025
IC0335,2025
IC0336,2025
IP0207,2025
IP0208,2025
IP0209,2025
IP0210,2025
IP0211,2025
IP0212,2025
IP0213,2025
IP0214,2025
IP0215,2025
IP0216,2025
IP0217,2025
IP7025,2025
IP7026,2025
IP7027,2025
LE0596,2025
LE0597,2025
LE0598,2025
LE0599,2025
LE0600,2025
LE0601,2025
LS0525,2025
LS0625,2025
LS0725,2025
LS0825,2025
LS0925,2025
LS1025,2025
LS2510,2025
LS2511,2025
LS2512,2025
LS2513,2025
LS2514,2025
LS2515,2025
LS2516,2025
LS2517,2025
LS2518,2025
LS2519,2025
LS2520,2025
LT8422,2025
LT8423,2025
LT8426,2025
LT8427,2025
LT8428,2025
LT8429,2025
LT8430,2025
LT8431,2025
LT8432,2025
LT8433,2025
LT8434,2025
LT8435,2025
MI0457,2025
MI0458,2025
MI0459,2025
MI0460,2025
MI0461,2025
MI0462,2025
MI0463,2025
MI0464,2025
MI0465,2025
MI0467,2025
MS0444,2025
MS0445,2025
MS0446,2025
MS0447,2025
MS0448,2025
MS0449,2025
MS0450,2025
MS0451,2025
MS0452,2025
MS0453,2025
MS0454,2025
MS0455,2025
MS0456,2025
MU0063,2025
MU0064,2025
MU0065,2025
MU0066,2025
MU0067,2025
MU0068,2025
MU0069,2025
MU0070,2025
MU0071,2025
MU0072,2025
MU0073,2025
MU0074,2025
MU0075,2025
MU0076,2025
MU0077,2025
MU0078,2025
MU0079,2025
MU0080,2025
MU0081,2025
MUCM27,2025
MUCM28,2025
MUCM29,2025
MUCM30,2025
MUCM31,2025
MUCM32,2025
MUWT07,2025
MUWT08,2025
MZ0371,2025
MZ0372,2025
MZ0373,2025
MZ0374,2025
MZ0375,2025
MZ0376,2025
MZ0377,2025
MZ0378,2025
MZ0380,2025
MZ0381,2025
MZ0382,2025
MZ0383,2025
MZ0384,2025
MZ0385,2025
MZ0386,2025
MZ1014,2025
MZ1015,2025
MZ1016,2025
NL0107,2025
NL0108,2025
NL0109,2025
NL0110,2025
NL0111,2025
NL0112,2025
NL0113,2025
NL0114,2025
NL0115,2025
NL0116,2025
NL0117,2025
NL0118,2025
NL0119,2025
NL0120,2025
NL0121,2025
NL0123,2025
NT0041,2025
NT0042,2025
NT0043,2025
NT0044,2025
NT0045,2025
NT0046,2025
NT0047,2025
NT0048,2025
NT0049,2025
NT0050,2025
NT0051,2025
NT0052,2025
OK1136,2025
OK1137,2025
OK1138,2025
OK1139,2025
OK1140,2025
OK1141,2025
OK1142,2025
OK1143,2025
OK1144,2025
OK1145,2025
OK1146,2025
OK1147,2025
OK1148,2025
OK1149,2025
OK1150,2025
OK1151,2025
OK1152,2025
OK1153,2025
OK1154,2025
OK1155,2025
OK1156,2025
OK1157,2025
OK1158,2025
OK1159,2025
OK1160,2025
OK1161,2025
OK1162,2025
OK1163,2025
OR0805,2025
OR0806,2025
OR0807,2025
OR0808,2025
OR0809,2025
OR0810,2025
OR0811,2025
OR0812,2025
OR0813,2025
OR0814,2025
OR0815,2025
OR0816,2025
ORC016,2025
ORC017,2025
ORC018,2025
SD0669,2025
SD0670,2025
SD0671,2025
SD0672,2025
SD0673,2025
SD0674,2025
SD0676,2025
SD0677,2025
SD0678,2025
SD0679,2025
SD0680,2025
SD0681,2025
SF0633,2025
SF0634,2025
SF0635,2025
SF0636,2025
SF0637,2025
SF0638,2025
SF0639,2025
SF0640,2025
SJ0034,2025
SJ0035,2025
SJ0036,2025
SJ0037,2025
SJ0038,2025
SJ0039,2025
SJ0040,2025
SJ0041,2025
SU0567,2025
SU0568,2025
SU0569,2025
SU0570,2025
SU0571,2025
SU0572,2025
SU0573,2025
SU0574,2025
SU0575,2025
SU0576,2025
SU0577,2025
SU0578,2025
SU0579,2025
SU0580,2025
SU0581,2025
SU0582,2025
SU0583,2025
SU0584,2025
TR0064,2025
TR0065,2025
TR0066,2025
TR0069,2025
TT0326,2025
TT0327,2025
TT0328,2025
TT0329,2025
TT0331,2025
TT0332,2025
TT0333,2025
TT0334,2025
TT0335,2025
TT0336,2025
TT0337,2025
TT0338,2025
TT0339,2025
TT0340,2025
TT0341,2025
TT0342,2025
TT0343,2025
TT0344,2025
TT0345,2025
TT0346,2025
UA0294,2025
UA0295,2025
UA0296,2025
UA0297,2025
UA0298,2025
UA0299,2025
UA0300,2025
UC2501,2025
UC2502,2025
UC2503,2025
UC2504,2025
UC2505,2025
UC2506,2025
UC2507,2025
UC2508,2025
UC2509,2025
UC2510,2025
UC2511,2025
UC2512,2025
UC2513,2025
UC2514,2025
UC2515,2025
UD1107,2025
UD1108,2025
UD1109,2025
UD1110,2025
UD1111,2025
UD1112,2025
UD1113,2025
UD1114,2025
UD1115,2025
UD1116,2025
UD1117,2025
UD1118,2025
UD1119,2025
UD1120,2025
UD1121,2025
UD1122,2025
UD1123,2025
UD1124,2025
UF0627,2025
UF0628,2025
UF0629,2025
UF0630,2025
UF0631,2025
UF0632,2025
UF0633,2025
UF0634,2025
UF0635,2025
UF0636,2025
UL2501,2025
UL2502,2025
UL2503,2025
UL2504,2025
UL2505,2025
UL2506,2025
UL2507,2025
UL2508,2025
UL2509,2025
UL2510,2025
UL2511,2025
UL2512,2025
UL2513,2025
UU0266,2025
UU0267,2025
UU0268,2025
UU0269,2025
UU0270,2025
UU0271,2025
UU0272,2025
UU0273,2025
UU0274,2025
UU0275,2025
UU0276,2025
UU0277,2025
UU0278,2025
UU0279,2025
UU0280,2025
UU0281,2025
UU0282,2025
UU0283,2025
UU0284,2025
UU0285,2025
UU0286,2025
UU0287,2025
UU0288,2025
UU0289,2025
UU0290,2025
UW2501,2025
UW2502,2025
UW2503,2025
UW2504,2025
UW2505,2025
UW2506,2025
UW2507,2025
UW2508,2025
UW2509,2025
WM0240,2025
WM0241,2025
WM0242,2025
WM0243,2025
WM0244,2025
WM0245,2025
WM0246,2025
WM0247,2025
WV0677,2025
WV0678,2025
WV0679,2025
WV0680,2025
WV0681,2025
WV0682,2025
WV0683,2025
WV0684,2025
WV0685,2025
WV0686,2025
WV0687,2025
WV0688,2025
WV0689,2025
WV0690,2025
WV0691,2025
WV0692,2025
WV0693,2025
WV0694,2025
