center,bp_year,assessment_id,assessment_upload_days,assessment_upload_date,implementation_upload_days,implementation_upload_date,page,source_url
AM,2021,AM0830,56,10/22/2021,327,07/20/2022,1,https://iac.university/center/AM/internal/activity-log/BP2021
AM,2021,AM0829,83,10/14/2021,256,04/05/2022,1,https://iac.university/center/AM/internal/activity-log/BP2021
AM,2021,AM0828,47,09/01/2021,234,03/07/2022,1,https://iac.university/center/AM/internal/activity-log/BP2021
AM,2021,AM0827,33,08/11/2021,241,03/07/2022,1,https://iac.university/center/AM/internal/activity-log/BP2021
AM,2021,AM0826,76,09/09/2021,322,05/13/2022,1,https://iac.university/center/AM/internal/activity-log/BP2021
AM,2021,AM0825,41,07/29/2021,245,02/18/2022,1,https://iac.university/center/AM/internal/activity-log/BP2021
AM,2021,AM0824,60,08/10/2021,257,02/23/2022,1,https://iac.university/center/AM/internal/activity-log/BP2021
AM,2021,AM0823,59,08/02/2021,273,03/04/2022,1,https://iac.university/center/AM/internal/activity-log/BP2021
AM,2021,AM0822,66,06/14/2021,CnC,02/14/2022,1,https://iac.university/center/AM/internal/activity-log/BP2021
AM,2021,AM0821,54,05/19/2021,CnC,02/14/2022,1,https://iac.university/center/AM/internal/activity-log/BP2021
AM,2021,AM0820,37,04/19/2021,237,11/05/2021,1,https://iac.university/center/AM/internal/activity-log/BP2021
AM,2021,AM0819,46,04/21/2021,243,11/04/2021,1,https://iac.university/center/AM/internal/activity-log/BP2021
AM,2022,AM0869,97,11/09/2022,1278+,,1,https://iac.university/center/AM/internal/activity-log/BP2022
AM,2022,AM0868,104,11/09/2022,1285+,,1,https://iac.university/center/AM/internal/activity-log/BP2022
AM,2022,AM0859,20,09/15/2022,256,05/09/2023,1,https://iac.university/center/AM/internal/activity-log/BP2022
AM,2022,AM0858,169,11/09/2022,1332,01/15/2026,1,https://iac.university/center/AM/internal/activity-log/BP2022
AM,2022,AM0857,323,06/24/2023,1277+,,1,https://iac.university/center/AM/internal/activity-log/BP2022
AM,2022,AM0856,52,09/19/2022,242,03/28/2023,1,https://iac.university/center/AM/internal/activity-log/BP2022
AM,2022,AM0855,41,09/01/2022,236,03/15/2023,1,https://iac.university/center/AM/internal/activity-log/BP2022
AM,2022,AM0854,212,09/19/2022,1445+,,1,https://iac.university/center/AM/internal/activity-log/BP2022
AM,2022,AM0853,31,08/15/2022,221,02/21/2023,1,https://iac.university/center/AM/internal/activity-log/BP2022
AM,2022,AM0852,39,08/16/2022,252,03/17/2023,1,https://iac.university/center/AM/internal/activity-log/BP2022
AM,2022,AM0851,31,07/25/2022,221,01/31/2023,1,https://iac.university/center/AM/internal/activity-log/BP2022
AM,2022,AM0850,31,07/18/2022,229,02/01/2023,1,https://iac.university/center/AM/internal/activity-log/BP2022
AM,2022,AM0849,95,07/12/2022,314,02/16/2023,1,https://iac.university/center/AM/internal/activity-log/BP2022
AM,2022,AM0848,65,06/12/2022,300,02/02/2023,1,https://iac.university/center/AM/internal/activity-log/BP2022
AM,2022,AM0847,33,05/04/2022,234,11/21/2022,1,https://iac.university/center/AM/internal/activity-log/BP2022
AM,2022,AM0846,39,05/03/2022,318,02/06/2023,1,https://iac.university/center/AM/internal/activity-log/BP2022
AM,2022,AM0845,93,06/13/2022,264,11/30/2022,1,https://iac.university/center/AM/internal/activity-log/BP2022
AM,2022,AM0844,95,06/08/2022,257,11/16/2022,1,https://iac.university/center/AM/internal/activity-log/BP2022
AM,2022,AM0843,122,06/28/2022,269,11/21/2022,1,https://iac.university/center/AM/internal/activity-log/BP2022
AM,2022,AM0842,107,06/06/2022,241,10/18/2022,1,https://iac.university/center/AM/internal/activity-log/BP2022
AM,2022,AM0841,45,03/29/2022,305,12/13/2022,1,https://iac.university/center/AM/internal/activity-log/BP2022
AM,2022,AM0840,33,03/02/2022,249,10/05/2022,1,https://iac.university/center/AM/internal/activity-log/BP2022
AM,2022,AM0838,35,12/03/2021,229,06/15/2022,1,https://iac.university/center/AM/internal/activity-log/BP2022
AM,2022,AM0837,83,01/13/2022,258,07/07/2022,1,https://iac.university/center/AM/internal/activity-log/BP2022
AM,2022,AM0836,39,11/23/2021,263,07/05/2022,1,https://iac.university/center/AM/internal/activity-log/BP2022
AM,2022,AM0835,40,11/17/2021,256,06/21/2022,1,https://iac.university/center/AM/internal/activity-log/BP2022
AM,2022,AM0834,26,10/27/2021,215,05/04/2022,1,https://iac.university/center/AM/internal/activity-log/BP2022
AM,2022,AM0833,110,01/12/2022,231,05/13/2022,1,https://iac.university/center/AM/internal/activity-log/BP2022
AM,2022,AM0832,49,11/05/2021,271,06/15/2022,1,https://iac.university/center/AM/internal/activity-log/BP2022
AM,2022,AM0831,69,11/18/2021,298,07/05/2022,1,https://iac.university/center/AM/internal/activity-log/BP2022
AM,2023,AM0905,150,10/29/2023,977+,,1,https://iac.university/center/AM/internal/activity-log/BP2023
AM,2023,AM0904,163,10/29/2023,990+,,1,https://iac.university/center/AM/internal/activity-log/BP2023
AM,2023,AM0903,170,10/29/2023,997+,,1,https://iac.university/center/AM/internal/activity-log/BP2023
AM,2023,AM0890,33,09/06/2023,277,05/07/2024,1,https://iac.university/center/AM/internal/activity-log/BP2023
AM,2023,AM0889,62,09/21/2023,297,05/13/2024,1,https://iac.university/center/AM/internal/activity-log/BP2023
AM,2023,AM0888,47,08/30/2023,279,04/18/2024,1,https://iac.university/center/AM/internal/activity-log/BP2023
AM,2023,AM0887,45,08/21/2023,234,02/26/2024,1,https://iac.university/center/AM/internal/activity-log/BP2023
AM,2023,AM0886,73,08/14/2023,270,02/27/2024,1,https://iac.university/center/AM/internal/activity-log/BP2023
AM,2023,AM0885,183,10/28/2023,1011+,,1,https://iac.university/center/AM/internal/activity-log/BP2023
AM,2023,AM0884,190,10/28/2023,1018+,,1,https://iac.university/center/AM/internal/activity-log/BP2023
AM,2023,AM0883,197,10/28/2023,1025+,,1,https://iac.university/center/AM/internal/activity-log/BP2023
