assigned_id,sic_cd,naics_cd,state_cd
AM0946,3083,339991,TX
AM0947,3621,335312,TX
AM0949,3561,333911,TX
AM0957,2844,325620,TX
AM0959,3462,332111,TX
AM0962,3441,332312,TX
AM0964,8211,611110,TX
CC0047,2951,324121,SC
CC0048,3281,327991,SC
CC0049,3545,333515,NC
CC0050,3089,326121,NC
CC0051,,,NC
CC0052,,,NC
CI0055,3273,327320,CA
CI0056,1423,212313,CA
CI0057,3728,336413,CA
CI0058,3231,327211,CA
CI0059,3442,332321,CA
CI0060,2759,323111,CA
CI0061,3052,326220,CA
CI0062,3412,332439,CA
CI0063,,,CA
CI0064,,,CA
CI0065,,,CA
CI0066,,,CA
CI0067,,,CA
CI0068,,,CA
CI0069,,,CA
CI0070,,,CA
CI0071,,,CA
CI0072,,,CA
CI0073,,,CA
CI0074,,,CA
CI0075,,,CA
CI0076,,,CA
CM1054,,,CO
CM1055,,,CO
DL0261,3631,335221,PA
DL0262,2951,324121,VA
DL0263,2951,324121,VA
DL0264,2086,312111,NJ
DL0265,2086,312111,PA
DL0266,3089,336612,DE
DL0267,2835,325413,DE
DL0268,3714,336390,DE
DL0269,3089,326199,MD
DL0270,2676,322291,DE
DL0271,2951,324121,NJ
GT1000,2819,325998,GA
GT1001,3442,332321,GA
GT1002,,,NC
GT1003,,,NC
GT1004,,,GA
IC0330,6541,551114,IL
IC0331,6541,551114,IL
IC0332,6541,551114,IL
IC0333,6541,551114,IL
IC0334,6541,551114,IL
IC0335,3351,331420,IL
IC0336,3462,332111,WI
IC0337,3089,326199,IL
IC0338,3069,326299,IL
IC0339,3535,333922,IL
IC0340,3412,332439,IL
IC0341,3398,332811,IN
IC0342,6541,551114,IL
IP0218,,,IN
IP0219,,,IN
KS2542,3052,326220,SC
KS2543,2821,325211,GA
KS2544,,,GA
KS2546,,,GA
LE0601,2013,311612,NJ
LE0602,3842,339112,PA
LE0603,3674,334413,NJ
LE0604,3842,322220,NJ
LE0605,2032,311991,NY
LE0606,3089,326199,NY
LE0607,2048,311119,PA
LE0608,3086,326150,PA
LE0609,2951,324121,NJ
LS2521,3443,332420,LA
LS2601,,,LA
LS2602,,,LA
LS2603,,,MS
LS2604,,,MS
LS2605,,,LA
LT8428,2099,311942,LA
LT8429,7389,561920,LA
LT8430,2491,321999,LA
LT8431,6512,531120,LA
LT8432,3334,331313,AR
LT8433,6512,493110,LA
LT8434,2673,322220,LA
LT8435,8211,611110,LA
LT8436,8211,611110,LA
LT8437,8661,813110,LA
LT8438,8062,622110,LA
LT8439,8062,622110,LA
LT8440,3498,332996,LA
LT8441,,,LA
MI0464,3721,336411,FL
MI0465,3449,332312,FL
MI0466,3496,332618,PR
MI0467,5181,424810,FL
MI0468,2819,325180,FL
MI0469,2043,311423,PR
MI0470,,,FL
MI0471,,,PR
MI0472,,,PR
MS0454,3531,333120,MS
MS0455,3713,336211,MS
MS0456,2512,337121,MS
MS0457,2821,325211,MS
MS0458,3714,336390,MS
MS0459,2512,337121,MS
MS0460,3086,326150,MS
MS0461,3544,333514,MS
MS0462,3089,326199,MS
MS0463,2869,325211,MS
MS0464,,,MS
MS0465,,,MS
MS0466,,,MS
